"","StationCode","Latitude","Longitude"
"1","ME-CC",34.17912,-119.03968
"2","ME-VR2",34.34584,-119.29948
"3","SGUR010",34.19498,-117.86114
"4","SGUR103",34.23218,-118.05822
"5","SGUT502",34.2283,-117.76593
"6","SGUT503",34.29216,-117.83856
"7","SMC00080",34.32909,-118.08188
"8","SMC00105",33.74651,-117.58423
"9","SMC00153",33.22193,-117.34611
"10","SMC00191",34.36762,-119.0538
"11","SMC00198",32.93709,-117.13851
"12","SMC00206",33.54359,-117.65963
"13","SMC00271",34.5485,-119.16547
"14","SMC00282",32.8718,-116.61357
"15","SMC00288",34.13118,-117.76
"16","SMC00318",33.81287,-118.20558
"17","SMC00324",34.30063,-119.1097
"18","SMC00345",33.21048,-117.22484
"19","SMC00382",34.04437,-117.99413
"20","SMC00428",34.2481,-118.04976
"21","SMC00436",34.149,-118.27863
"22","SMC00440",34.28658,-118.52966
"23","SMC00446",34.02018,-118.04627
"24","SMC00457",33.2337,-117.09391
"25","SMC00464",34.24152,-117.86683
"26","SMC00473",33.03916,-117.15802
"27","SMC00476",34.24209,-118.13381
"28","SMC00479",34.2634,-119.24095
"29","SMC00480",34.23434,-117.73155
"30","SMC00520",34.29626,-118.28252
"31","SMC00531",33.55975,-117.772
"32","SMC00544",34.14677,-117.74153
"33","SMC00608",34.12344,-117.90223
"34","SMC00632",34.14874,-118.55604
"35","SMC00665",33.274,-117.23159
"36","SMC00670",33.86925,-117.90916
"37","SMC00684",34.09698,-118.02373
"38","SMC00686",34.0322,-117.83819
"39","SMC00693",33.2964,-117.08556
"40","SMC00702",33.87795,-118.00297
"41","SMC00710",32.88934,-117.20028
"42","SMC00729",33.13525,-117.17488
"43","SMC00748",34.07548,-118.0788
"44","SMC00756",34.14956,-118.39156
"45","SMC00766",33.65718,-117.83739
"46","SMC00827",34.55734,-119.18833
"47","SMC00830",33.94305,-118.16606
"48","SMC00857",33.24609,-117.30088
"49","SMC00873",33.59849,-117.62668
"50","SMC00899",33.71747,-117.7888
"51","SMC00910",33.51383,-117.74426
"52","SMC00911",34.50797,-119.29854
"53","SMC00921",33.10624,-117.11573
"54","SMC00924",34.22394,-118.18053
"55","SMC00926",33.90739,-117.88296
"56","SMC00957",33.96195,-117.37075
"57","SMC00958",33.82532,-117.99894
"58","SMC00963",33.56401,-117.6514
"59","SMC01004",34.15016,-118.16579
"60","SMC01013",33.48059,-117.14397
"61","SMC01040",34.30553,-118.15792
"62","SMC01046",32.79509,-117.18494
"63","SMC01049",33.17733,-117.20403
"64","SMC01096",34.28465,-118.29343
"65","SMC01151",34.3723,-118.97196
"66","SMC01155",33.7606,-117.67949
"67","SMC01158",32.96281,-117.16676
"68","SMC01161",33.44661,-117.25532
"69","SMC01164",34.35078,-118.57968
"70","SMC01172",34.0816,-118.85826
"71","SMC01174",33.01677,-117.01646
"72","SMC01196",34.27835,-118.02952
"73","SMC01201",33.08584,-117.05528
"74","SMC01208",34.19015,-118.5365
"75","SMC01215",34.33968,-119.06784
"76","SMC01248",34.25895,-117.74499
"77","SMC01257",33.60842,-117.61859
"78","SMC01258",32.64949,-117.05886
"79","SMC01278",33.82099,-118.06645
"80","SMC01320",34.29856,-118.25082
"81","SMC01341",33.94614,-117.5621
"82","SMC01358",33.90965,-118.24673
"83","SMC01372",34.43437,-118.61386
